02-SEP-202312.8
	12.8
	0
03-SEP-202314.2
	14.2
	0
04-SEP-202313.1
	13.1
	0
05-SEP-202311.7
	11.7
	0
06-SEP-202315.3
	15.3
	0
07-SEP-202312.5
	12.5
	0
08-SEP-202314.0
	14.0
	0
09-SEP-202313.8
	13.8
	0
10-SEP-202312.9
	12.9
	0
11-SEP-202313.4
	13.4
	0
12-SEP-202312.2
	12.2
	0
13-SEP-202314.7
	14.7
	0
14-SEP-202313.0
	13.0
	0
15-SEP-202312.6
	12.6
	0
16-SEP-202315.5
	15.5
	0
17-SEP-202314.1
	14.1
	0
18-SEP-202313.7
	13.7
	0
19-SEP-202312.1
	12.1
	0
20-SEP-202314.9
	14.9
	0
21-SEP-202313.3
	13.3
	0
22-SEP-202312.4
	12.4
	0
23-SEP-202315.0
	15.0
	0
24-SEP-202313.6
	13.6
	0
25-SEP-202312.3
	12.3
	0
26-SEP-202314.6
	14.6
	0
27-SEP-202313.2
	13.2
	0
28-SEP-202312.7
	12.7
	0
29-SEP-202314.3
	14.3
	0
30-SEP-202315.2
	15.2
	0
01-OCT-202313.9
	13.9
	0
02-OCT-202312.0
	12.0
	0
03-OCT-202315.4
	15.4
	0
04-OCT-202313.5
	13.5
	0
05-OCT-202312.8
	12.8
	0
06-OCT-202314.2
	14.2
	0
07-OCT-202313.1
	13.1
	0
08-OCT-202311.7
	11.7
	0
09-OCT-202315.3
	15.3
	0
10-OCT-202312.5
	12.5
	0
11-OCT-202314.0
	14.0
	0
12-OCT-202313.8
	13.8
	0
13-OCT-202312.9
	12.9
	0
14-OCT-202313.4
	13.4
	0
15-OCT-202312.2
	12.2
	0
16-OCT-202314.7
	14.7
	0
17-OCT-202313.0
	13.0
	0
18-OCT-202312.6
	12.6
	0
19-OCT-202315.5
	15.5
	0
20-OCT-202314.1
	14.1
	0
21-OCT-202313.7
	13.7
	0
22-OCT-202312.1
	12.1
	0
23-OCT-202314.9
	14.9
	0
24-OCT-202313.3
	13.3
	0
25-OCT-202312.4
	12.4
	0
26-OCT-202315.0
	15.0
	0
27-OCT-202313.6
	13.6
	0
28-OCT-202312.3
	12.3
	0
29-OCT-202314.6
	14.6
	0
30-OCT-202313.2
	13.2
	0
31-OCT-202312.7
	12.7
	0
01-NOV-202314.3
	14.3
	0
02-NOV-202315.2
	15.2
	0
03-NOV-202313.9
	13.9
	0
04-NOV-202312.0
	12.0
	0
05-NOV-202315.4
	15.4
	0
06-NOV-202313.5
	13.5
	0
07-NOV-202312.8
	12.8
	0
08-NOV-202314.2
	14.2
	0
09-NOV-202313.1
	13.1
	0
10-NOV-202311.7
	11.7
	0
